monthly_sessions,conversion_rate,repeat_customer_rate,avg_delivery_days,ad_spend_to_revenue_pct,refund_rate,will_lose_customers
15209,3.1465716052849384,29.633130735164247,3.737523105127899,34.893462537723494,3.9161605775153423,0
116545,2.0732161425385667,25.145844370238784,5.934880830606523,35.747518150865815,4.862108985199303,0
98876,2.4646216762638375,27.299435386572647,5.428350506668089,39.100396928669504,4.458775322984919,1
66954,1.9545734444858467,31.776095302785357,5.299404665113183,34.74342428446387,4.118186666050034,1
66086,1.8636739350686364,15.905136811072337,5.271355663990505,36.81374793937147,2.717968168024873,0
129072,1.3764140826196642,32.780585789082,5.714210060018943,33.32908557437535,7.387532481524985,0
14719,2.3442410871660426,10.269969831144609,7.195917486927399,28.65528649116472,1.899160113302906,1
105210,1.3187702486513855,27.28367972831538,8.255472472549489,26.89508999763814,4.85527243775949,1
31817,2.5324681890507432,25.787409632863273,5.495499510991685,23.62740280902598,3.3595185153971343,1
15938,2.868229603556728,17.837069118078922,7.1306321443432665,13.876317069402743,7.5190945388985995,0
79918,2.293225125789784,23.773147246743534,4.096466107466435,16.446884911801913,2.1930349255523187,0
146392,1.7710010131554466,17.77459847334447,7.031910905452466,23.179855180647902,2.529473476479336,1
110891,2.363172463446957,13.282986731382557,3.9760169523460194,28.414521596024294,2.0603638734763496,0
114648,1.75306155556287,20.463852583863556,7.681319872176264,40.408125980042634,4.646930101901221,0
108186,2.7484377003721194,12.960113646283386,9.92128175478648,25.582027721244874,1.2538986808627164,0
118337,0.5348751326279011,27.22797464093248,5.255832224057216,36.03476290877664,3.0429430104844677,1
77957,1.7315141055050831,12.499145058476365,1.1149130183851828,36.79315656432121,0.1,1
20960,0.4073504039008018,31.119770229910515,4.403854133510354,23.68553202311209,4.480842708256181,1
126282,0.803951335818236,12.185209320711799,7.963750268578607,31.94690211370184,2.9995702824874746,1
68657,3.0910897838511273,18.33705084418994,6.60615357405049,23.564719582751387,1.023886512136294,0
76052,2.716147985577349,17.75396591784821,5.997827197350059,39.22135894078477,6.171218805948117,1
56878,1.4244158133721676,37.25146728874839,7.517336711909678,32.35843338265932,1.3846662032301214,1
29017,0.7979972351672824,27.302899456165918,6.468906878496844,14.095162453116448,5.59388738005643,0
139161,0.2,21.882661974556058,7.935450374902272,27.615246521538467,2.597918352024391,1
117671,1.5652035936538924,28.987194410697235,7.338847353293971,42.481121618238795,7.203142755790852,0
97292,3.9363320097979217,2.9280765267031192,8.543400905473918,24.18768965453299,5.499101077852292,1
61557,2.347907417170918,23.568664103590926,6.217592167812509,30.477150300950683,1.9839042582519437,0
123768,1.5523421711604084,43.97514177804763,7.310518802987909,31.458788377391453,2.1658348955793874,0
82723,2.372064167600245,25.323465064026724,4.885745853828429,15.633771008353996,5.21105041044862,0
67625,0.7512333176044457,24.679131691693357,4.297078376881988,31.10707949213514,3.4752437385796666,0
68668,1.7621413098418917,29.481283796421963,8.913535280837946,12.061648479653742,3.6613149859572687,1
35631,2.0795819784125906,32.956052433143455,5.932409352645376,19.743758935986037,6.544477723544196,0
15636,1.9311194785431611,4.025333071101404,7.109761131724758,36.75722967494192,2.5026222532600872,1
84078,2.6326448973520646,7.1767351820897325,5.74748002882278,29.56756290308358,4.182587544350909,0
133407,2.2757161809888418,26.102912910861466,4.326968698160071,22.95522192253473,5.909255587304612,1
11444,2.5346608144863976,16.851234381024902,5.521965785164802,30.464610212451873,5.6182349767712,1
129027,1.4493021742153924,37.120252622199146,8.371988035535429,25.399077522448685,3.680774664958655,1
124489,2.7182523267284386,20.84825610114776,6.610480148558848,26.125785023518333,3.4221882382946838,0
42960,3.303149558099193,4.65469264286882,2.077053680539082,32.56818526720138,0.5223690749581369,0
95486,1.22388038427887,11.31986083156003,5.06951108684769,18.726322593408682,1.8875100146696084,0
26453,1.289843475428352,1.0,9.064587585409424,26.403364055546906,4.636718453149467,1
114196,3.068627469056186,21.658744627170876,5.072406276300088,22.87731805393347,3.7242356221155277,1
105677,1.8469248106439518,22.116158727356165,1.8990426165316387,10.143966253997444,4.149854157132452,1
54469,3.1230571136532457,19.755372902181023,9.286097770845087,16.795442437507003,6.078507219268121,0
12052,1.645971430486253,34.788790390297386,6.864785019625585,41.68206447063832,1.625353781875451,0
145663,3.164036461016569,35.98519836516694,5.359974282374399,29.84723314585234,3.5276393955347,1
67961,2.105188653444362,22.296115766438888,4.7571645278358625,12.764116985986108,4.377421926822436,0
134181,2.2065830586581563,2.6530633252314395,7.6647038595834704,10.596456241515893,2.591680124850968,1
102332,3.2517744173359233,30.172815804922585,4.4160331995476145,24.87836099889416,6.862954227854834,1
117200,1.710583618044663,29.553602285085756,7.796512849031977,41.61186533176482,5.817173603226295,1
114465,1.2471023232600333,27.09391570156945,6.5843905714485125,24.132418651956474,4.580266654177511,1
30806,1.6411486335773164,33.81479749308116,5.9893638509747,39.06999553404016,7.588463558657173,1
55858,2.361867160514511,12.3517190353896,5.791029610671191,29.519307708186574,1.0022094407797155,0
71074,0.7473927422555884,44.08755386185139,5.150063926571644,30.712504578458937,3.9845474377886365,1
